Unnamed: 0,Titulo_moderno,titulo_pal,titulo_lem,Manuscrito,Folios,Fragm?,Joint,Order in manuscript,Nombra autor,Comment
,Der Feldbauer,Ditz ist ein schones mere / Von einem velt bowere,diser sîn ein schoene mere / von ein velt gebûr,cpg341,,,,56,,
,Des Teufels Ächtung,Ditz heizet des tevfels echte / Des pflag ein mait mit einem knehte,diser heizzen der tevfels echte / der phlegen ein maget mit ein kneht,cpg341,,,,57,,
,Die Messe,Hie ist des Strickers mere / Got bvz vns vnser swere,hie sîn der Strickære mere / got buoze wir wir swere,cpg341,,,,58,,
,Der arme Lazarus,Ditz ist von dem richen man vnd von Lazaro alsam,diser sîn von der rîche man und von Lazarus alsam,cpg341,,,,59,,
,Die feisten Jagdvögel,Got hat der herren harte vil / Die tunt recht als daz veder spil,got haben der herre herte vil / die tuon reht als daz vedere spil,cpg341,,,,,,
,Reinhart Fuchs,Ditz buvch heizet vuchs Reinhart / Got gebezzer vnser vart,diser buvch heizzen vuhs Reinhart / got gebezzern wir vart,cpg341,,,,60,,
,Die Messe,Ditz ist von der messe / Der svlle wir niht vergesse,diser sîn von der missa / der soln wir niht vergezzen,cpg341,,,,61,,
,Der Opfertod Christi des Königs,Ditz ist von vnser herren marter so / Der vns helfe zv dem himel ho,diser sîn von wir herre marter sô / der wir helfen zuo der himel hôch,cpg341,,,,62,,
,Christus eine gebärende Frau,Krist hat sich mit dem libe / Gelichet einem wibe,krist haben sich mit der lîp / gelichet ein wîp,cpg341,,,,,,
,Das weiße Tuch,Wer ein tvch so weiz vnd so clar / Daz man daz welte wol verwar,wer ein tuc sô wizzen und sô klâr / daz man daz werlt wol verwarn,cpg341,,,,63,,
,Der Pfaffen Leben,Ditz ist von den pfaffen / Got hat vns geschaffen,diser sîn von der pfafen / got haben wir schaffen,cpg341,,,,64,,
,Der Hund und der Stein,Ditz ist von den di da der predige spottent vnd schimpfen,diser sîn von der die dâr der bredigen spotten und schimpfen,cpg341,,,,65,,
,Mahnung zu rechtzeitiger Busse,Daz alter slizet den lip / Ez machet man vnd wip,daz alt slitzen der lip / ez machen man und wîp,cpg341,,,,66,,
,Der Taugenichts,Hie sait der Strickere / Eines loters mere,hie sagen der Strickære / eines loters mere,cpg341,,,,67,,
,Die Weisheit Salomos,Ditz sait der Stricker von Salomon / Got der gebe vns richen lon,diser sagen der Strickære von Salomon / got der geben wir rîche lon,cpg341,,,,68,,
,Von drei Freunden,Hie sait der Stricker von drin vrunden die da raten kvnnen,hie sagen der Strickære von darinne vriunt die dâr râten kunnen,cpg341,,,,69,,
,Der Zweikampf,OB ein man in kanphe stat / Sin kanph genoz niht enlat,ob ein man in kanphe stat / sin kanph genoz niht enlâzen,cpg341,,TRUE,,70,,
,Der milde König,Ditz ist von einem hazzingen Vnde von einem nydigen,diser sîn von ein hazzec und von ein nidigen,cpg341,,,,71,,
,Das Bild,Hie wil ich euh bedevten / Von valschen geistlichen levten,hie wil ich sie bedevten / von valsch geistlich liut,cpg341,,,,72,,
,Die Äffin und ihre Kinder,Ditz bvch heist der ieger / Got si vnser pfleger,diser buoch heizzen der jegere / got si wir phlegen,cpg341,,,,73,,
,Der blinde Dieb,Ditz ist von einem blinden diebe / Got vns zv im geliebe,diser sîn von ein blint diep / got wir zuo er geliep,cpg341,,,,74,,
,Der wahre Freund,Ditz ist wie ein man / Von schvlden vz sines herren hvlden quam,diser sîn wie ein man / von schulde ûz sines herre hulde komen,cpg341,,,,75,,
,Die drei Gott verhassten Dinge,Hie sint drev dinch Die got vnmer sint,hie sint drî dinc die got unmære sint,cpg341,,,,76,,
,Die sieben himmlischen Gaben,Ditz ist von dem metzen / Got mvz vns ze himel setzen,diser sîn von der metzen / got müezen wir zuo himel setzen,cpg341,,,,77,,
,Die undankbaren Gäste,Ditz ist ein wirt herwergte geste / Vnd tet in ovch daz beste,diser sîn ein wirt herwergte gast / und tuon in ouch daz bezzist,cpg341,,,,78,,
,Der Sünder und der Einsiedel,Ditz ist von einem richen man / Den sin svnden rewen began,diser sîn von ein rîche man / der sin sünde rewen beginnen,cpg341,,,,79,,
,Die Tochter und der Hund,Ditz ist wie ein kvnic zv hove wolde varn / Got der mveze vns bewarn,diser sîn wie ein künic zuo hof wellen varn / got der müezen wir bewarn,cpg341,,,,80,,
,Der ernsthafte König,Ditz ist von einem kvnege / Der wolde nie niht gelachen,diser sîn von ein künic / der wellen nie niht lachen,cpg341,,,,81,,
,Der Spiegel,Ditz mere hebet sich also an / Von vnser herren lichnam,diser mere heben sich alsô an / von wir herre lîcham,cpg341,,,,82,,
,Die Eiche und das Rohr,Ditz ist von einer eyche / Got vns von svnden weyche,diser sîn von ein eiche / got wir von sünde weich,cpg341,,,,83,,
,Der eigensinnige Spötter,Ditz ist ein mer / Von einem vbelen spotter,diser sîn ein mer / von ein übel spoter,cpg341,,,,84,,
,Der Habicht und das Huhn,Ditz ist wie ein habch wart Gebvnden vf einen hamel wart,diser sîn wie ein habech werden binden ûf einen hamel werden,cpg341,,,,85,,
,Der Wolf und der Kranich,Ditz ist ein mere gote weis / Wie ein wolf ein vich erbeis,diser sîn ein mere got weis / wie ein wolf ein vihe erbeis,cpg341,,,,86,,
,Der Löwe und die Maus,Ditz ist ein mere / Von einem wildenere,diser sîn ein mere / von ein wildenære,cpg341,,,,87,,
,Der Gast und die Wirtin,Ditz mere ist vns gegeben / Von den valschen litgeben,diser mere sîn wir geben / von der valsch lîtgebe,cpg341,,,,88,,
